"ID","PERMITNUMBER","PERMITTYPE","PERMITTYPEKEY","STATUS","CONTRACTOR","CATEGORYNAME","WORKTYPE","ZONING","SQUAREFEET","PERMITFEE","PROJECTCOSTS","ADDRESS","CITY","STATE","ZIPCODE","GPSX","GPSY","DISTRICT","NEIGHBORHOOD","ISSUEDATE","Latitude","Longitude"
"2","EL941768","Electrical Permit","ELECTRICAL","Issued","KEITH BAKER ELECTRIC LLC","Commercial","Rewire Repair Add Wiring","R7","0","50","100","4222 W BROADWAY  ","LOUISVILLE","KY","40211-0000","1188715","277015","01","CHICKASAW","2015-05-20 08:49:09","38.250101122799997","-85.822999405999994"
"8","BL915697","Building Permit","BUILDING","Issued","STUART BAUER POOLS SPAS INC","Single Family","Pool","R5","480","55.44","59089","2500   LONGEST AVE","LOUISVILLE","KY","40204-0000","1221573","272526","08","CHEROKEE TRIANGLE","2014-09-16 15:01:16","38.239260678900003","-85.708347559700002"
"9","HV953273","HVAC Permit","HVAC","Issued","CAIR HEATING & COOLING LLC","Commercial","Alteration","C1","0","180","5000","1903 W MARKET ST","LOUISVILLE","KY","40203-0000","1200609","279793","04","PORTLAND","2015-08-27 08:30:20","38.258278893000004","-85.781748518499995"
"21","EL944106","Electrical Permit","ELECTRICAL","Issued","LINK ELECTRIC COMPANY INC","Commercial","Rewire Repair Add Wiring","R4","0","50","7500","1281   GILMORE LN","LOUISVILLE","KY","40213-0000","1221936","250850","21","","2015-06-22 10:27:15","38.179761235999997","-85.705890984999996"
"22","BL933907","Building Permit","BUILDING","Issued","E H CONSTRUCTION LLC","Commercial","Renovation - Alter - Repair","R4","14771","1920.23","1399900","1281   GILMORE LN","LOUISVILLE","KY","40213-0000","1221936","250850","21","","2015-03-31 11:35:46","38.179761235999997","-85.705890984999996"
"24","HV955834","HVAC Permit","HVAC","Issued","KLM MECHANICAL SERVICES INC","Multi Family","Replacement","R6","0","105","300","7025   BRONNER CIR","LOUISVILLE","KY","40218-0000","1244475","252677","02","","2015-09-28 09:30:49","38.1857296039","-85.627585063599994"
"35","BL948404","Building Permit","BUILDING","Issued","BLITZ BUILDERS INC","Misc (Tent, Foundation, Etc)","Miscellaneous","R3","1080","118.8","24800","12   NARWOOD DR","FOREST HILLS","KY","40299-0000","1256901","262544","18","","2015-07-15 13:06:40","38.2133240577","-85.5848553923"
"65","HV953257","HVAC Permit","HVAC","Issued","KINSER & KINSER INC","Single Family","Replacement","R5","0","105","9278","1243   MORGAN AVE","LOUISVILLE","KY","40213-0000","1216159","256212","10","PRESTONIA","2015-08-17 08:38:23","38.194231042299997","-85.726284675299993"
"88","14BL4335","Building Permit","BUILDING","Issued","KELLEY CONSTRUCTION INC","Commercial","New","C1","1015","111.65","90000","3083   BRECKENRIDGE LN","LOUISVILLE","KY","40220-0000","1244904","263605","26","","2014-09-22 10:37:57","38.2157523594","-85.626660929400003"
"92","HV945109","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R1","0","105","10600","3611   GLENVIEW AVE","GLENVIEW","KY","40025-0000","1240111","295009","16","","2015-06-18 16:15:10","38.301780057199998","-85.644996804300007"
"99","HV948991","HVAC Permit","HVAC","Issued","KINSER & KINSER","Single Family","Replacement","R5","0","105","4421","4310   STONE GLEN RD","LOUISVILLE","KY","40241-0000","1263437","297959","17","","2015-07-22 08:44:18","38.310821727399997","-85.563867685000005"
"132","HV944921","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R4","0","105","4000","7101   WYTHE HILL PL","PROSPECT","KY","40059-0000","1249949","312397","16","","2015-06-18 16:15:05","38.349926087999997","-85.611613822199999"
"141","BL946207","Building Permit","BUILDING","Issued","BLITZ BUILDERS INC","Single Family","Addition","C2","800","88","15975","8301   MINOR LN","LOUISVILLE","KY","40219-0000","1220180","232088","13","","2015-06-26 11:35:26","38.128170335199997","-85.710963809999996"
"160","HV947047","HVAC Permit","HVAC","Issued","BRYANT HEATING & AC","Single Family","Replacement","R4","0","105","1000","11004   CLEAR STREAM CT","LOUISVILLE","KY","40291-0000","1260895","236892","22","","2015-07-08 09:24:18","38.143048396200001","-85.569676726500006"
"173","HV962111","HVAC Permit","HVAC","Issued","TOM DREXLER PLUMBING","Multi Family","Replacement","R7","0","55","100","401   KENILWORTH RD","LOUISVILLE","KY","40206-0000","1222201","280536","09","CLIFTON HEIGHTS","2015-10-20 10:30:00","38.2612807191","-85.706602350400004"
"200","HV950599","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R7","0","105","3650","2008   GOLDSMITH LN","LOUISVILLE","KY","40218-0000","1230720","259718","10","BASHFORD MANOR","2015-07-29 16:53:15","38.204487295299998","-85.675814003400006"
"203","HV950731","HVAC Permit","HVAC","Issued","BIRKHEAD CO INC","Single Family","Replacement","R4","0","105","4200","12504   KIRKHAM RD","DOUGLASS HILLS","KY","40299-0000","1273738","267500","20","","2015-07-30 11:21:40","38.227587332399999","-85.526499660900001"
"219","BL940532","Building Permit","BUILDING","Issued","CLEARWATER POOLS SPAS INC","Single Family","Pool","R4","420","50","39764","7800   DOBSON LN","LOUISVILLE","KY","40291-0000","1264340","232560","22","","2015-06-08 13:38:00","38.131288702699997","-85.557485536300007"
"243","EL957100","Electrical Permit","ELECTRICAL","Issued","EMERGENCY ELECTRIC LLC","Single Family","Rewire Repair Add Wiring","R4","0","50","1200","11433   SEATONVILLE RD","LOUISVILLE","KY","40291-0000","1267296","235117","22","","2015-09-15 08:21:24","38.138424386600001","-85.547335141700003"
"290","362061","Building Permit","BUILDING","Issued","COMMERICAL INSTALLATION & CONS","Commercial","Renovation - Alter - Repair","C1","0","325","22000","2213   HIKES LN","LOUISVILLE","KY","40218-0000","1235207","258122","26","BON AIR","2013-05-28 11:54:23","38.200294849199999","-85.660115905400005"
"317","HV960144","HVAC Permit","HVAC","Issued","LARRY ALLEN HEATING AIR","Single Family","Replacement","R4","0","105","2200","10203   MOUNTAIN LAUREL LN","LOUISVILLE","KY","40228-0000","1249280","224623","22","","2015-10-06 12:21:01","38.1088969945","-85.609429123699996"
"395","EL946619","Electrical Permit","ELECTRICAL","Issued","NETHERY ELECTRIC INC","Single Family","New","R4","0","160","2000","8908   WOODEN HORSE DR","LOUISVILLE","KY","40229-0000","1251334","217221","22","","2015-06-30 11:57:28","38.0886560239","-85.601913717800002"
"399","BL933868","Building Permit","BUILDING","Issued","KARZEN LANGAN CONST","Single Family","Renovation - Alter - Repair","C1","3000","225","1","2852   FRANKFORT AVE","LOUISVILLE","KY","40206-0000","1227554","278006","09","CRESCENT HILL","2015-03-03 11:26:14","38.254565142700002","-85.687823902600002"
"466","BL963821","Building Permit","BUILDING","Issued","PINNACLE PROPERTIES","Multi Family","New","PRD","1646","713.98","110000","10235   LONG HOME RD","LOUISVILLE","KY","40291-0000","1259502","229090","22","","2015-11-03 10:45:05","38.121571146800001","-85.574129825399993"
"473","HV950546","HVAC Permit","HVAC","Issued","PRODUCTION HEATING & COOLING","Single Family","Replacement","R4","0","105","5393","4509   PULASKI CT","WORTHINGTON HILLS","KY","40245-0000","1274623","296572","17","","2015-07-29 12:38:00","38.307445060500001","-85.524819851399997"
"476","HV944956","HVAC Permit","HVAC","Issued","TOM DREXLER PLUMBING","Single Family","Replacement","R5","0","55","100","3620 W KENTUCKY ST","LOUISVILLE","KY","40211-0000","1191292","275000","01","CHICKASAW","2015-06-17 10:35:02","38.244689219999998","-85.813907893899994"
"502","EL962368","Electrical Permit","ELECTRICAL","Issued","ABTECH ELECTRICAL SERVICE","Commercial","Rewire Repair Add Wiring","PD","0","135","1100","800 S 4TH ST","LOUISVILLE","KY","40203-0000","1207038","274466","04","OLD LOUISVILLE","2015-10-21 11:51:15","38.243944319999997","-85.759057892900003"
"513","13BL4546","Building Permit","BUILDING","Issued","BENCHMARK HOMES INC","Single Family","New","R4","2250","168.75","100000","102   AMBLING WAY","MIDDLETOWN","KY","40243-0000","1272626","273466","19","","2013-08-08 16:03:50","38.243926062100002","-85.530659072600002"
"537","EL964294","Electrical Permit","ELECTRICAL","Issued","JHS ELECTRIC LLC","Single Family","Rewire Repair Add Wiring","R5","0","50","250","4015   SPRINGHILL RD","ST MATTHEWS","KY","40207-0000","1240247","273398","26","","2015-11-05 08:39:10","38.242448719199999","-85.643383717199995"
"539","HV948813","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R4","0","105","4250","8511   NOTTINGHAM PKY","HURSTBOURNE","KY","40222-0000","1254182","274814","18","","2015-07-17 16:35:49","38.246905439999999","-85.594941305000006"
"542","HV949896","HVAC Permit","HVAC","Issued","BIRKHEAD CO INC","Single Family","Replacement","R4","0","105","6400","517   ROTHBURY LN","DOUGLASS HILLS","KY","40243-0000","1267152","270620","19","","2015-07-24 16:08:36","38.2359011466","-85.549577391699998"
"556","BL933125","Building Permit","BUILDING","Issued","DISTINCTIVE DESIGN REMODELING","Single Family","Addition","R7","140","50","19000","4904   CAWOOD DR","LOUISVILLE","KY","40218-0000","1239962","250727","02","","2015-02-26 11:11:23","38.180189067400001","-85.643181979399998"
"592","HV943249","HVAC Permit","HVAC","Issued","RICK ALLGEIER ASSOC INC","Single Family","Replacement","R4","0","105","3783","12227   CROSSWINDS DR","MIDDLETOWN","KY","40243-0000","1273584","269925","19","","2015-06-03 09:40:33","38.234239907800003","-85.527152755900005"
"593","14BL3444","Building Permit","BUILDING","Issued","KRAEMER CONSTRUCTION CO","Misc (Tent, Foundation, Etc)","Miscellaneous","R5","240","50","10000","8406   HURSTBOURNE WOODS PL","LOUISVILLE","KY","40299-0000","1252012","253739","11","","2014-07-08 07:48:41","38.188952162200003","-85.601419871399997"
"628","EL960971","Electrical Permit","ELECTRICAL","Issued","BRUCE ELECTRIC","Single Family","Rewire Repair Add Wiring","R4","0","50","6000","410   CHERRYWOOD RD","ST MATTHEWS","KY","40207-0000","1238001","280127","09","","2015-10-12 18:05:25","38.260830889700003","-85.651559554499997"
"667","EL963888","Electrical Permit","ELECTRICAL","Issued","ANDERSON ELEC - JAMES ANDERSON","Single Family","Rewire Repair Add Wiring","R6","0","50","300","2921   SLEVIN ST","LOUISVILLE","KY","40212-0000","1195777","282972","05","PORTLAND","2015-11-02 16:41:01","38.2667853353","-85.798760258399994"
"690","330112","Building Permit","BUILDING","Issued","CLEARWATER POOLS SPAS INC","Single Family","Addition","R4","560","50","43265","5007   OLD FEDERAL RD","LOUISVILLE","KY","40207-0000","1237748","289656","16","","2012-05-24 12:06:00","38.286983902999999","-85.652946065699993"
"745","HV952096","HVAC Permit","HVAC","Issued","MIDDLETOWN HVAC HEATING","Single Family","Replacement","R4","0","105","3413","812   GREEN WILLOW WAY","LOUISVILLE","KY","40223-0000","1266769","277210","19","","2015-11-05 20:06:00","38.253980683199998","-85.551234811499995"
"750","HV945942","HVAC Permit","HVAC","Issued","BRYANT HEATING & AC","Single Family","Replacement","R4","0","105","1000","2411   MERCER AVE","LOUISVILLE","KY","40216-0000","1186009","254621","01","","2015-06-30 16:04:49","38.1884886697","-85.831082343099993"
"754","343153","Building Permit","BUILDING","Issued","RENIER CONSTRUCTION CORP","Commercial","Addition","EZ1","25858","2844.38","1500000","4001   RALPH AVE","LOUISVILLE","KY","40211-0000","1184966","263230","01","","2013-12-03 07:57:39","38.212076430000003","-85.835226174400006"
"765","BL930299","Building Permit","BUILDING","Issued","PROMASTER CONTRACTING INC","Single Family","Addition","R2","1058","79.35","150000","171   WESTWIND RD","INDIAN HILLS","KY","40207-0000","1235532","285703","07","","2015-01-22 11:58:33","38.276037312200003","-85.660454780500004"
"771","BL924346","Building Permit","BUILDING","Issued","L & J CONSTRUCTORS","Single Family","Renovation - Alter - Repair","R4","959","71.92","38000","521   ELINE AVE","ST MATTHEWS","KY","40207-0000","1234504","275151","09","","2014-11-21 09:24:09","38.247021625499997","-85.663471289499995"
"776","HV959036","HVAC Permit","HVAC","Issued","EARL AGE & SON HTG & AIR","Single Family","Replacement","R6","0","105","3500","633   CAMP ST","LOUISVILLE","KY","40203-0000","1211180","269886","04","SHELBY PARK","2015-09-28 12:41:06","38.231554705400001","-85.7443789469"
"810","14BL4202","Building Permit","BUILDING","Issued","CONSTRUCTIVE LLC DBA MICHAEL O'DEA","Single Family","Renovation - Alter - Repair","R5","450","50","80000","2407   GRAY FOX RD","LOUISVILLE","KY","40205-0000","1226858","271039","08","BONNYCASTLE","2014-09-08 08:58:10","38.235406188399999","-85.689868108499994"
"813","EL949006","Electrical Permit","ELECTRICAL","Issued","SHACKLETTE ELECTRIC","Single Family","Rewire Repair Add Wiring","R4","0","85","1","2552   TREVILIAN WAY","SENECA GARDENS","KY","40205-0000","1231340","268324","08","","2015-07-19 21:44:11","38.228143012399997","-85.674119692600001"
"847","BL951522","Building Permit","BUILDING","Issued","PAUL DAVIS SYSTEMS OF LOUISVIL","Single Family","Renovation - Alter - Repair","R5","1185","88.88","63000","5207   TERRACE GREEN CIR","LOUISVILLE","KY","40218-0000","1234177","250259","02","","2015-08-05 09:57:09","38.178662066400001","-85.663279879699999"
"850","HV948459","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R1","0","155","20200","5431   ORCHARD RIDGE LN","GLENVIEW","KY","40222-0000","1240398","298496","16","","2015-07-17 16:35:52","38.311366153100003","-85.644180733300004"
"864","BL964379","Building Permit","BUILDING","Issued","BLUEGRASS GARAGE BUILDERS INC","Single Family","Addition","R4","528","58.08","18000","6307   REGAL RD","LOUISVILLE","KY","40222-0000","1243637","292634","16","","2015-11-05 16:45:22","38.295405058","-85.632586923199995"
